10:43:40.658 [AWT-EventQueue-0] INFO  c.b.MainFrame - init version:2
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@220300
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@b14f5f
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1c68a2f
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@111d343
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1a3e6a2
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1ae87be
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@66e756
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@104a912
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@162daa6
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@ac3383
10:44:25.568 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1b13ed7
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@147458a
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@8901ee
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1ea0c57
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@157d17b
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@cfacce
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@b14608
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@18a78bd
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@f1b9fe
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1cfcc32
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1d65905
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@16b8712
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@deefc8
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@19f13bd
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@3a6f3a
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1ce2fb8
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@e930a6
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@18cc97d
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@383989
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@797759
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1581730
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@9af407
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@13b742c
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@5507ad
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@15f6bc0
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@9c9aa0
10:44:25.578 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@a60c0b
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@b0075d
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@776ea0
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1ea614
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@8c2bc8
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@9c5b6b
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1f931f6
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@de135b
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1c5a163
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@152f7b3
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1b8086e
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1509cc9
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@126e5b9
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@11b7cc1
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@f9fc34
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1be9ef6
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@14fa695
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1762e89
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@a773cf
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1ed1403
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1e661e5
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@19c0b76
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@9e38c1
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1b87fdd
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@111d406
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@3daba9
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1a4dd5f
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@17a0a21
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@5e4aec
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@123ce2d
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@7aa173
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1288e9f
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1efa4bc
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@82400a
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1101f90
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.588 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@473edb
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@71baeb
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@5f3dbf
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@16e4e7b
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@b0022b
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@13150b4
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@7c35a8
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1c8b3ca
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@15d5002
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@f00a6d
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1acb3ae
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@17a0a32
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@bc8bdf
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@775507
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@46b5a4
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@15816c4
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1a09303
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@153365d
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@1b5ac6
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@19684f7
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@133dcd
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@fe1f4c
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@dfa47f
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@18f28af
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@39d06
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@13f535
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@11a4494
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@140d148
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@12f8acb
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@866006
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@113b5a6
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@36f4dd
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@15e5882
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@958bbf
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@63bc4e
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@17e3543
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@3df3e6
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@3f476d
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@18d1ce8
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@10bf5f7
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - execute
10:44:25.598 [AWT-EventQueue-0] INFO  c.b.HomeworkAssistant - task:com.bruce.swing.Worker@3c8ef3
